in:Amount columns X,in:Seed for random numbers,in:Amount columns Y,out:name,out:Number of columns X,out:Number of columns Y,out:Column spacing minimum (mm),out:Beam span maximum (mm),out:Y-Label,img
7,77,3,Structure_7_77_3,9,5,1000,7000,0.597039,True.png
3,78,3,Structure_3_78_3,5,5,1000,10000,0.251629,True.png
4,78,3,Structure_4_78_3,6,5,1000,9000,0.344407,True.png
5,78,3,Structure_5_78_3,7,5,1000,7000,0.644577,True.png
6,78,3,Structure_6_78_3,8,5,1000,7000,0.665021,True.png
7,78,3,Structure_7_78_3,9,5,1000,7000,0.637038,True.png
3,79,3,Structure_3_79_3,5,5,1000,10000,0.178485,True.png
4,79,3,Structure_4_79_3,6,5,1000,10000,0.255538,True.png
5,79,3,Structure_5_79_3,7,5,1000,10000,0.210392,True.png
6,79,3,Structure_6_79_3,8,5,1000,10000,0.155362,True.png
7,79,3,Structure_7_79_3,9,5,1000,10000,0.093864,True.png
3,80,3,Structure_3_80_3,5,5,2000,7000,0.626764,True.png
4,80,3,Structure_4_80_3,6,5,2000,7000,0.642041,True.png
5,80,3,Structure_5_80_3,7,5,1000,7000,0.614085,True.png
6,80,3,Structure_6_80_3,8,5,1000,7000,0.585377,True.png
7,80,3,Structure_7_80_3,9,5,1000,7000,0.556888,True.png
3,81,3,Structure_3_81_3,5,5,1000,6000,0.691097,True.png
4,81,3,Structure_4_81_3,6,5,1000,6000,0.662527,True.png
5,81,3,Structure_5_81_3,7,5,1000,6000,0.633504,True.png
6,81,3,Structure_6_81_3,8,5,1000,6000,0.606514,True.png
7,81,3,Structure_7_81_3,9,5,1000,6000,0.5781,True.png
3,82,3,Structure_3_82_3,5,5,1000,6000,0.74379,True.png
4,82,3,Structure_4_82_3,6,5,1000,6000,0.716933,True.png
5,82,3,Structure_5_82_3,7,5,1000,6000,0.70605,True.png
6,82,3,Structure_6_82_3,8,5,1000,6000,0.679759,True.png
7,82,3,Structure_7_82_3,9,5,1000,6000,0.656242,True.png
3,83,3,Structure_3_83_3,5,5,1000,6000,0.769331,True.png
4,83,3,Structure_4_83_3,6,5,1000,6000,0.747753,True.png
5,83,3,Structure_5_83_3,7,5,1000,6000,0.730001,True.png
6,83,3,Structure_6_83_3,8,5,1000,6000,0.714947,True.png
7,83,3,Structure_7_83_3,9,5,1000,5000,0.734545,True.png
3,84,3,Structure_3_84_3,5,5,1000,7000,0.699086,True.png
4,84,3,Structure_4_84_3,6,5,1000,6000,0.758672,True.png
5,84,3,Structure_5_84_3,7,5,1000,6000,0.731986,True.png
6,84,3,Structure_6_84_3,8,5,1000,6000,0.703852,True.png
7,84,3,Structure_7_84_3,9,5,1000,6000,0.679633,True.png
3,85,3,Structure_3_85_3,5,5,1000,7000,0.701395,True.png
4,85,3,Structure_4_85_3,6,5,1000,7000,0.671926,True.png
5,85,3,Structure_5_85_3,7,5,1000,7000,0.6935,True.png
6,85,3,Structure_6_85_3,8,5,1000,7000,0.66539,True.png
7,85,3,Structure_7_85_3,9,5,1000,7000,0.651047,True.png
3,86,3,Structure_3_86_3,5,5,1000,12000,-0.021164,True.png
4,86,3,Structure_4_86_3,6,5,1000,8000,0.607062,True.png
5,86,3,Structure_5_86_3,7,5,1000,6000,0.708721,True.png
6,86,3,Structure_6_86_3,8,5,1000,6000,0.68114,True.png
7,86,3,Structure_7_86_3,9,5,1000,6000,0.675545,True.png
3,87,3,Structure_3_87_3,5,5,1000,12000,-0.161735,True.png
4,87,3,Structure_4_87_3,6,5,1000,12000,0.105776,True.png
5,87,3,Structure_5_87_3,7,5,1000,12000,0.086227,True.png
6,87,3,Structure_6_87_3,8,5,1000,12000,-0.065778,True.png
7,87,3,Structure_7_87_3,9,5,1000,12000,-0.129897,True.png
3,88,3,Structure_3_88_3,5,5,1000,8000,0.316235,True.png
4,88,3,Structure_4_88_3,6,5,1000,8000,0.239662,True.png
5,88,3,Structure_5_88_3,7,5,1000,8000,0.18303,True.png
6,88,3,Structure_6_88_3,8,5,1000,8000,0.523302,True.png
7,88,3,Structure_7_88_3,9,5,1000,8000,0.538711,True.png
3,89,3,Structure_3_89_3,5,5,1000,8000,0.317911,True.png
4,89,3,Structure_4_89_3,6,5,1000,8000,0.564954,True.png
5,89,3,Structure_5_89_3,7,5,1000,8000,0.538759,True.png
6,89,3,Structure_6_89_3,8,5,1000,8000,0.531213,True.png
7,89,3,Structure_7_89_3,9,5,1000,8000,0.504696,True.png
3,90,3,Structure_3_90_3,5,5,2000,8000,0.39942,True.png
4,90,3,Structure_4_90_3,6,5,2000,8000,0.650392,True.png
5,90,3,Structure_5_90_3,7,5,2000,8000,0.630215,True.png
6,90,3,Structure_6_90_3,8,5,1000,8000,0.606587,True.png
7,90,3,Structure_7_90_3,9,5,1000,8000,0.578765,True.png
3,91,3,Structure_3_91_3,5,5,1000,8000,0.600419,True.png
4,91,3,Structure_4_91_3,6,5,1000,8000,0.570726,True.png
5,91,3,Structure_5_91_3,7,5,1000,8000,0.541164,True.png
6,91,3,Structure_6_91_3,8,5,1000,8000,0.605719,True.png
7,91,3,Structure_7_91_3,9,5,1000,8000,0.581314,True.png
3,92,3,Structure_3_92_3,5,5,1000,7000,0.612885,True.png
4,92,3,Structure_4_92_3,6,5,1000,7000,0.583452,True.png
5,92,3,Structure_5_92_3,7,5,1000,7000,0.554363,True.png
6,92,3,Structure_6_92_3,8,5,1000,7000,0.635946,True.png
7,92,3,Structure_7_92_3,9,5,1000,7000,0.649732,True.png
3,93,3,Structure_3_93_3,5,5,1000,8000,0.354145,True.png
4,93,3,Structure_4_93_3,6,5,1000,7000,0.598465,True.png
5,93,3,Structure_5_93_3,7,5,1000,7000,0.644011,True.png
6,93,3,Structure_6_93_3,8,5,1000,7000,0.615846,True.png
7,93,3,Structure_7_93_3,9,5,1000,7000,0.588413,True.png
3,94,3,Structure_3_94_3,5,5,1000,8000,0.420098,True.png
4,94,3,Structure_4_94_3,6,5,1000,8000,0.348443,True.png
5,94,3,Structure_5_94_3,7,5,1000,8000,0.539007,True.png
6,94,3,Structure_6_94_3,8,5,1000,8000,0.510074,True.png
7,94,3,Structure_7_94_3,9,5,1000,8000,0.483272,True.png
3,95,3,Structure_3_95_3,5,5,1000,9000,0.409697,True.png
4,95,3,Structure_4_95_3,6,5,1000,9000,0.394322,True.png
5,95,3,Structure_5_95_3,7,5,1000,6000,0.666627,True.png
6,95,3,Structure_6_95_3,8,5,1000,6000,0.671728,True.png
7,95,3,Structure_7_95_3,9,5,1000,6000,0.643551,True.png
3,96,3,Structure_3_96_3,5,5,1000,9000,0.404557,True.png
4,96,3,Structure_4_96_3,6,5,1000,9000,0.372718,True.png
5,96,3,Structure_5_96_3,7,5,1000,9000,0.233988,True.png
6,96,3,Structure_6_96_3,8,5,1000,9000,0.139112,True.png
7,96,3,Structure_7_96_3,9,5,1000,9000,0.081332,True.png
3,97,3,Structure_3_97_3,5,5,1000,8000,0.416763,True.png
4,97,3,Structure_4_97_3,6,5,1000,8000,0.389353,True.png
5,97,3,Structure_5_97_3,7,5,1000,6000,0.682236,True.png
6,97,3,Structure_6_97_3,8,5,1000,6000,0.680431,True.png
7,97,3,Structure_7_97_3,9,5,1000,6000,0.65208,True.png
3,98,3,Structure_3_98_3,5,5,1000,8000,0.580276,True.png
4,98,3,Structure_4_98_3,6,5,1000,8000,0.560977,True.png
5,98,3,Structure_5_98_3,7,5,1000,8000,0.53772,True.png
6,98,3,Structure_6_98_3,8,5,1000,8000,0.510497,True.png
7,98,3,Structure_7_98_3,9,5,1000,8000,0.483079,True.png
3,99,3,Structure_3_99_3,5,5,1000,7000,0.701604,True.png
4,99,3,Structure_4_99_3,6,5,1000,5000,0.771909,True.png
5,99,3,Structure_5_99_3,7,5,1000,5000,0.745816,True.png
6,99,3,Structure_6_99_3,8,5,1000,5000,0.726734,True.png
7,99,3,Structure_7_99_3,9,5,1000,5000,0.701562,True.png
3,100,3,Structure_3_100_3,5,5,1000,7000,0.710441,True.png
4,100,3,Structure_4_100_3,6,5,1000,7000,0.684145,True.png
5,100,3,Structure_5_100_3,7,5,1000,7000,0.664869,True.png
6,100,3,Structure_6_100_3,8,5,1000,7000,0.638739,True.png
7,100,3,Structure_7_100_3,9,5,1000,7000,0.632405,True.png
3,101,3,Structure_3_101_3,5,5,1000,5000,0.792518,True.png
4,101,3,Structure_4_101_3,6,5,1000,5000,0.760096,True.png
5,101,3,Structure_5_101_3,7,5,1000,5000,0.731395,True.png
6,101,3,Structure_6_101_3,8,5,1000,5000,0.702973,True.png
7,101,3,Structure_7_101_3,9,5,1000,5000,0.714289,True.png
3,102,3,Structure_3_102_3,5,5,1000,7000,0.719595,True.png
4,102,3,Structure_4_102_3,6,5,1000,5000,0.775921,True.png
5,102,3,Structure_5_102_3,7,5,1000,5000,0.750481,True.png
6,102,3,Structure_6_102_3,8,5,1000,5000,0.728871,True.png
7,102,3,Structure_7_102_3,9,5,1000,5000,0.700726,True.png
3,103,3,Structure_3_103_3,5,5,1000,8000,0.389384,True.png
4,103,3,Structure_4_103_3,6,5,1000,7000,0.712407,True.png
5,103,3,Structure_5_103_3,7,5,1000,7000,0.687237,True.png
6,103,3,Structure_6_103_3,8,5,1000,7000,0.665208,True.png
7,103,3,Structure_7_103_3,9,5,1000,7000,0.643896,True.png
3,104,3,Structure_3_104_3,5,5,1000,8000,0.307866,True.png
4,104,3,Structure_4_104_3,6,5,1000,8000,0.24106,True.png
5,104,3,Structure_5_104_3,7,5,1000,8000,0.537078,True.png
6,104,3,Structure_6_104_3,8,5,1000,8000,0.51217,True.png
7,104,3,Structure_7_104_3,9,5,1000,8000,0.484146,True.png
3,105,3,Structure_3_105_3,5,5,1000,8000,0.604981,True.png
4,105,3,Structure_4_105_3,6,5,1000,8000,0.650834,True.png
5,105,3,Structure_5_105_3,7,5,1000,8000,0.62317,True.png
6,105,3,Structure_6_105_3,8,5,1000,8000,0.596848,True.png
7,105,3,Structure_7_105_3,9,5,1000,8000,0.575708,True.png
3,106,3,Structure_3_106_3,5,5,1000,7000,0.663725,True.png
4,106,3,Structure_4_106_3,6,5,1000,7000,0.646916,True.png
5,106,3,Structure_5_106_3,7,5,1000,7000,0.630621,True.png
6,106,3,Structure_6_106_3,8,5,1000,7000,0.615339,True.png
7,106,3,Structure_7_106_3,9,5,1000,7000,0.600198,True.png
3,107,3,Structure_3_107_3,5,5,1000,7000,0.687124,True.png
4,107,3,Structure_4_107_3,6,5,1000,7000,0.663269,True.png
5,107,3,Structure_5_107_3,7,5,1000,7000,0.674865,True.png
6,107,3,Structure_6_107_3,8,5,1000,7000,0.647735,True.png
7,107,3,Structure_7_107_3,9,5,1000,7000,0.62984,True.png
3,108,3,Structure_3_108_3,5,5,1000,9000,0.411809,True.png
4,108,3,Structure_4_108_3,6,5,1000,8000,0.620968,True.png
5,108,3,Structure_5_108_3,7,5,1000,6000,0.73029,True.png
6,108,3,Structure_6_108_3,8,5,1000,6000,0.705896,True.png
7,108,3,Structure_7_108_3,9,5,1000,6000,0.688989,True.png
3,109,3,Structure_3_109_3,5,5,1000,9000,0.460264,True.png
4,109,3,Structure_4_109_3,6,5,1000,9000,0.558236,True.png
5,109,3,Structure_5_109_3,7,5,1000,9000,0.532036,True.png
6,109,3,Structure_6_109_3,8,5,1000,9000,0.521772,True.png
7,109,3,Structure_7_109_3,9,5,1000,9000,0.492827,True.png
3,110,3,Structure_3_110_3,5,5,1000,7000,0.458263,True.png
4,110,3,Structure_4_110_3,6,5,1000,7000,0.665234,True.png
5,110,3,Structure_5_110_3,7,5,1000,7000,0.636557,True.png
6,110,3,Structure_6_110_3,8,5,1000,7000,0.608306,True.png
7,110,3,Structure_7_110_3,9,5,1000,7000,0.580021,True.png
3,111,3,Structure_3_111_3,5,5,1000,8000,0.3871,True.png
4,111,3,Structure_4_111_3,6,5,1000,7000,0.617336,True.png
5,111,3,Structure_5_111_3,7,5,1000,7000,0.625618,True.png
6,111,3,Structure_6_111_3,8,5,1000,7000,0.598656,True.png
7,111,3,Structure_7_111_3,9,5,1000,7000,0.581416,True.png
3,112,3,Structure_3_112_3,5,5,1000,8000,0.302816,True.png
4,112,3,Structure_4_112_3,6,5,1000,8000,0.231494,True.png
5,112,3,Structure_5_112_3,7,5,1000,8000,0.580686,True.png
6,112,3,Structure_6_112_3,8,5,1000,8000,0.55282,True.png
7,112,3,Structure_7_112_3,9,5,1000,8000,0.526197,True.png
3,113,3,Structure_3_113_3,5,5,1000,10000,0.098404,True.png
4,113,3,Structure_4_113_3,6,5,1000,8000,0.522224,True.png
5,113,3,Structure_5_113_3,7,5,1000,8000,0.506187,True.png
6,113,3,Structure_6_113_3,8,5,1000,8000,0.527067,True.png
7,113,3,Structure_7_113_3,9,5,1000,8000,0.500183,True.png
3,114,3,Structure_3_114_3,5,5,1000,10000,0.281316,True.png
4,114,3,Structure_4_114_3,6,5,1000,10000,0.392841,True.png
5,114,3,Structure_5_114_3,7,5,1000,10000,0.221461,True.png
6,114,3,Structure_6_114_3,8,5,1000,10000,0.150904,True.png
7,114,3,Structure_7_114_3,9,5,1000,10000,0.087056,True.png
3,115,3,Structure_3_115_3,5,5,1000,10000,0.253257,True.png
4,115,3,Structure_4_115_3,6,5,1000,6000,0.693351,True.png
5,115,3,Structure_5_115_3,7,5,1000,6000,0.736818,True.png
6,115,3,Structure_6_115_3,8,5,1000,6000,0.715581,True.png
7,115,3,Structure_7_115_3,9,5,1000,6000,0.689337,True.png
3,116,3,Structure_3_116_3,5,5,1000,10000,-0.348116,True.png
4,116,3,Structure_4_116_3,6,5,1000,10000,-0.225471,True.png
5,116,3,Structure_5_116_3,7,5,1000,10000,0.021814,True.png
6,116,3,Structure_6_116_3,8,5,1000,10000,0.216933,True.png
7,116,3,Structure_7_116_3,9,5,1000,10000,0.198312,True.png
3,117,3,Structure_3_117_3,5,5,1000,10000,-0.057932,True.png
4,117,3,Structure_4_117_3,6,5,1000,10000,-0.120456,True.png
5,117,3,Structure_5_117_3,7,5,1000,10000,0.223025,True.png
6,117,3,Structure_6_117_3,8,5,1000,10000,0.191954,True.png
7,117,3,Structure_7_117_3,9,5,1000,10000,-0.037834,True.png
3,118,3,Structure_3_118_3,5,5,1000,9000,0.31803,True.png
4,118,3,Structure_4_118_3,6,5,1000,9000,0.526176,True.png
5,118,3,Structure_5_118_3,7,5,1000,9000,0.508469,True.png
6,118,3,Structure_6_118_3,8,5,1000,9000,0.512337,True.png
7,118,3,Structure_7_118_3,9,5,1000,9000,0.488249,True.png
3,119,3,Structure_3_119_3,5,5,1000,8000,0.5973,True.png
4,119,3,Structure_4_119_3,6,5,1000,8000,0.656904,True.png
5,119,3,Structure_5_119_3,7,5,1000,8000,0.631807,True.png
6,119,3,Structure_6_119_3,8,5,1000,8000,0.607817,True.png
7,119,3,Structure_7_119_3,9,5,1000,8000,0.581292,True.png
3,120,3,Structure_3_120_3,5,5,2000,7000,0.727122,True.png
4,120,3,Structure_4_120_3,6,5,2000,7000,0.698428,True.png
5,120,3,Structure_5_120_3,7,5,1000,7000,0.672093,True.png
6,120,3,Structure_6_120_3,8,5,1000,7000,0.655401,True.png
7,120,3,Structure_7_120_3,9,5,1000,7000,0.639446,True.png
3,121,3,Structure_3_121_3,5,5,2000,6000,0.774322,True.png
4,121,3,Structure_4_121_3,6,5,2000,5000,0.772622,True.png
5,121,3,Structure_5_121_3,7,5,1000,5000,0.757532,True.png
6,121,3,Structure_6_121_3,8,5,1000,5000,0.743045,True.png
7,121,3,Structure_7_121_3,9,5,1000,5000,0.715858,True.png
3,122,3,Structure_3_122_3,5,5,1000,6000,0.76637,True.png
4,122,3,Structure_4_122_3,6,5,1000,6000,0.736367,True.png
5,122,3,Structure_5_122_3,7,5,1000,6000,0.70838,True.png
6,122,3,Structure_6_122_3,8,5,1000,6000,0.678148,True.png
7,122,3,Structure_7_122_3,9,5,1000,6000,0.692935,True.png
3,123,3,Structure_3_123_3,5,5,1000,10000,0.250425,True.png
4,123,3,Structure_4_123_3,6,5,1000,8000,0.568103,True.png
5,123,3,Structure_5_123_3,7,5,1000,6000,0.728844,True.png
6,123,3,Structure_6_123_3,8,5,1000,5000,0.705337,True.png
7,123,3,Structure_7_123_3,9,5,1000,5000,0.676858,True.png
3,124,3,Structure_3_124_3,5,5,1000,10000,0.230927,True.png
4,124,3,Structure_4_124_3,6,5,1000,10000,0.21112,True.png
5,124,3,Structure_5_124_3,7,5,1000,10000,0.076317,True.png
6,124,3,Structure_6_124_3,8,5,1000,10000,0.018128,True.png
7,124,3,Structure_7_124_3,9,5,1000,10000,0.182857,True.png
3,125,3,Structure_3_125_3,5,5,1000,6000,0.718182,True.png
4,125,3,Structure_4_125_3,6,5,1000,6000,0.719955,True.png
5,125,3,Structure_5_125_3,7,5,1000,6000,0.690585,True.png
6,125,3,Structure_6_125_3,8,5,1000,6000,0.66084,True.png
7,125,3,Structure_7_125_3,9,5,1000,6000,0.651798,True.png
3,126,3,Structure_3_126_3,5,5,1000,9000,0.388139,True.png
4,126,3,Structure_4_126_3,6,5,1000,9000,0.356485,True.png
5,126,3,Structure_5_126_3,7,5,1000,7000,0.652251,True.png
6,126,3,Structure_6_126_3,8,5,1000,6000,0.704586,True.png
7,126,3,Structure_7_126_3,9,5,1000,6000,0.679342,True.png
3,127,3,Structure_3_127_3,5,5,1000,9000,0.318299,True.png
4,127,3,Structure_4_127_3,6,5,1000,9000,0.293739,True.png
5,127,3,Structure_5_127_3,7,5,1000,9000,0.177922,True.png
6,127,3,Structure_6_127_3,8,5,1000,9000,0.119874,True.png
7,127,3,Structure_7_127_3,9,5,1000,9000,0.119439,True.png
3,128,3,Structure_3_128_3,5,5,1000,9000,0.357786,True.png
4,128,3,Structure_4_128_3,6,5,1000,9000,0.539626,True.png
5,128,3,Structure_5_128_3,7,5,1000,9000,0.516156,True.png
6,128,3,Structure_6_128_3,8,5,1000,9000,0.497529,True.png
7,128,3,Structure_7_128_3,9,5,1000,9000,0.471782,True.png
3,129,3,Structure_3_129_3,5,5,1000,9000,0.26254,True.png
4,129,3,Structure_4_129_3,6,5,1000,7000,0.675094,True.png
5,129,3,Structure_5_129_3,7,5,1000,7000,0.674937,True.png
6,129,3,Structure_6_129_3,8,5,1000,7000,0.654301,True.png
7,129,3,Structure_7_129_3,9,5,1000,7000,0.640978,True.png
3,130,3,Structure_3_130_3,5,5,1000,9000,0.407322,True.png
4,130,3,Structure_4_130_3,6,5,1000,9000,0.267072,True.png
5,130,3,Structure_5_130_3,7,5,1000,9000,0.195167,True.png
6,130,3,Structure_6_130_3,8,5,1000,9000,0.124544,True.png
7,130,3,Structure_7_130_3,9,5,1000,9000,0.115236,True.png
3,131,3,Structure_3_131_3,5,5,1000,6000,0.690868,True.png
4,131,3,Structure_4_131_3,6,5,1000,6000,0.711859,True.png
5,131,3,Structure_5_131_3,7,5,1000,6000,0.684902,True.png
6,131,3,Structure_6_131_3,8,5,1000,6000,0.656408,True.png
7,131,3,Structure_7_131_3,9,5,1000,6000,0.628278,True.png
3,132,3,Structure_3_132_3,5,5,1000,7000,0.663105,True.png
4,132,3,Structure_4_132_3,6,5,1000,7000,0.648,True.png
5,132,3,Structure_5_132_3,7,5,1000,6000,0.656876,True.png
6,132,3,Structure_6_132_3,8,5,1000,6000,0.674986,True.png
7,132,3,Structure_7_132_3,9,5,1000,6000,0.649353,True.png
3,133,3,Structure_3_133_3,5,5,1000,7000,0.664302,True.png
4,133,3,Structure_4_133_3,6,5,1000,7000,0.636829,True.png
5,133,3,Structure_5_133_3,7,5,1000,7000,0.607445,True.png
6,133,3,Structure_6_133_3,8,5,1000,7000,0.578581,True.png
7,133,3,Structure_7_133_3,9,5,1000,7000,0.604697,True.png
3,134,3,Structure_3_134_3,5,5,1000,6000,0.693972,True.png
4,134,3,Structure_4_134_3,6,5,1000,6000,0.732063,True.png
5,134,3,Structure_5_134_3,7,5,1000,6000,0.709525,True.png
6,134,3,Structure_6_134_3,8,5,1000,6000,0.681415,True.png
7,134,3,Structure_7_134_3,9,5,1000,6000,0.654232,True.png
3,135,3,Structure_3_135_3,5,5,1000,6000,0.69651,True.png
4,135,3,Structure_4_135_3,6,5,1000,6000,0.668256,True.png
5,135,3,Structure_5_135_3,7,5,1000,6000,0.637402,True.png
6,135,3,Structure_6_135_3,8,5,1000,6000,0.652141,True.png
7,135,3,Structure_7_135_3,9,5,1000,6000,0.622288,True.png
3,136,3,Structure_3_136_3,5,5,1000,7000,0.629488,True.png
4,136,3,Structure_4_136_3,6,5,1000,6000,0.695904,True.png
5,136,3,Structure_5_136_3,7,5,1000,6000,0.679147,True.png
6,136,3,Structure_6_136_3,8,5,1000,6000,0.664521,True.png
7,136,3,Structure_7_136_3,9,5,1000,6000,0.66419,True.png
3,137,3,Structure_3_137_3,5,5,1000,8000,0.349337,True.png
4,137,3,Structure_4_137_3,6,5,1000,8000,0.319206,True.png
5,137,3,Structure_5_137_3,7,5,1000,8000,0.283453,True.png
6,137,3,Structure_6_137_3,8,5,1000,7000,0.585859,True.png
7,137,3,Structure_7_137_3,9,5,1000,7000,0.556801,True.png
3,138,3,Structure_3_138_3,5,5,1000,8000,0.352124,True.png
4,138,3,Structure_4_138_3,6,5,1000,8000,0.28837,True.png
5,138,3,Structure_5_138_3,7,5,1000,8000,0.42452,True.png
6,138,3,Structure_6_138_3,8,5,1000,8000,0.506768,True.png
7,138,3,Structure_7_138_3,9,5,1000,8000,0.480553,True.png
3,139,3,Structure_3_139_3,5,5,1000,9000,0.322124,True.png
4,139,3,Structure_4_139_3,6,5,1000,8000,0.371355,True.png
5,139,3,Structure_5_139_3,7,5,1000,8000,0.334688,True.png
6,139,3,Structure_6_139_3,8,5,1000,7000,0.613483,True.png
7,139,3,Structure_7_139_3,9,5,1000,7000,0.585808,True.png
3,140,3,Structure_3_140_3,5,5,1000,11000,0.062386,True.png
4,140,3,Structure_4_140_3,6,5,1000,9000,0.234696,True.png
5,140,3,Structure_5_140_3,7,5,1000,9000,0.232842,True.png
6,140,3,Structure_6_140_3,8,5,1000,9000,0.511288,True.png
7,140,3,Structure_7_140_3,9,5,1000,9000,0.492254,True.png
3,141,3,Structure_3_141_3,5,5,1000,11000,0.03001,True.png
4,141,3,Structure_4_141_3,6,5,1000,11000,-0.027011,True.png
5,141,3,Structure_5_141_3,7,5,1000,11000,-0.003621,True.png
6,141,3,Structure_6_141_3,8,5,1000,11000,0.278345,True.png
7,141,3,Structure_7_141_3,9,5,1000,11000,-0.036975,True.png
3,142,3,Structure_3_142_3,5,5,1000,10000,0.03168,True.png
4,142,3,Structure_4_142_3,6,5,1000,10000,-0.003607,True.png
5,142,3,Structure_5_142_3,7,5,1000,8000,0.235844,True.png
6,142,3,Structure_6_142_3,8,5,1000,8000,0.571383,True.png
7,142,3,Structure_7_142_3,9,5,1000,8000,0.543479,True.png
3,143,3,Structure_3_143_3,5,5,1000,10000,-0.20575,True.png
4,143,3,Structure_4_143_3,6,5,1000,10000,-0.122097,True.png
5,143,3,Structure_5_143_3,7,5,1000,10000,-0.180229,True.png
6,143,3,Structure_6_143_3,8,5,1000,10000,-0.078804,True.png
7,143,3,Structure_7_143_3,9,5,1000,10000,-0.141773,True.png
3,144,3,Structure_3_144_3,5,5,1000,10000,0.243726,True.png
4,144,3,Structure_4_144_3,6,5,1000,10000,0.402391,True.png
5,144,3,Structure_5_144_3,7,5,1000,10000,0.380016,True.png
6,144,3,Structure_6_144_3,8,5,1000,10000,0.12094,True.png
7,144,3,Structure_7_144_3,9,5,1000,10000,0.103736,True.png
3,145,3,Structure_3_145_3,5,5,1000,7000,0.618111,True.png
4,145,3,Structure_4_145_3,6,5,1000,7000,0.594065,True.png
5,145,3,Structure_5_145_3,7,5,1000,7000,0.635815,True.png
6,145,3,Structure_6_145_3,8,5,1000,7000,0.608374,True.png
7,145,3,Structure_7_145_3,9,5,1000,7000,0.579462,True.png
3,146,3,Structure_3_146_3,5,5,1000,7000,0.620769,True.png
4,146,3,Structure_4_146_3,6,5,1000,7000,0.681496,True.png
5,146,3,Structure_5_146_3,7,5,1000,7000,0.652998,True.png
6,146,3,Structure_6_146_3,8,5,1000,7000,0.627659,True.png
7,146,3,Structure_7_146_3,9,5,1000,7000,0.601102,True.png
3,147,3,Structure_3_147_3,5,5,1000,7000,0.662138,True.png
4,147,3,Structure_4_147_3,6,5,1000,7000,0.717936,True.png
5,147,3,Structure_5_147_3,7,5,1000,7000,0.68899,True.png
6,147,3,Structure_6_147_3,8,5,1000,7000,0.663673,True.png
7,147,3,Structure_7_147_3,9,5,1000,7000,0.635519,True.png
3,148,3,Structure_3_148_3,5,5,1000,7000,0.609605,True.png
4,148,3,Structure_4_148_3,6,5,1000,7000,0.666453,True.png
5,148,3,Structure_5_148_3,7,5,1000,7000,0.638206,True.png
6,148,3,Structure_6_148_3,8,5,1000,7000,0.644834,True.png
7,148,3,Structure_7_148_3,9,5,1000,7000,0.64002,True.png
3,149,3,Structure_3_149_3,5,5,1000,9000,0.303801,True.png
4,149,3,Structure_4_149_3,6,5,1000,7000,0.566778,True.png
5,149,3,Structure_5_149_3,7,5,1000,7000,0.538007,True.png
6,149,3,Structure_6_149_3,8,5,1000,7000,0.615947,True.png
7,149,3,Structure_7_149_3,9,5,1000,7000,0.587852,True.png
3,150,3,Structure_3_150_3,5,5,1000,9000,0.374659,True.png
4,150,3,Structure_4_150_3,6,5,1000,9000,0.301376,True.png
5,150,3,Structure_5_150_3,7,5,1000,9000,0.521608,True.png
6,150,3,Structure_6_150_3,8,5,1000,9000,0.498371,True.png
7,150,3,Structure_7_150_3,9,5,1000,9000,0.470802,True.png
3,151,3,Structure_3_151_3,5,5,1000,7000,0.609785,True.png
4,151,3,Structure_4_151_3,6,5,1000,7000,0.577327,True.png
5,151,3,Structure_5_151_3,7,5,1000,7000,0.682422,True.png
6,151,3,Structure_6_151_3,8,5,1000,7000,0.658125,True.png
7,151,3,Structure_7_151_3,9,5,1000,7000,0.633159,True.png
3,152,3,Structure_3_152_3,5,5,1000,7000,0.576861,True.png
4,152,3,Structure_4_152_3,6,5,1000,7000,0.674587,True.png
5,152,3,Structure_5_152_3,7,5,1000,7000,0.646624,True.png
6,152,3,Structure_6_152_3,8,5,1000,7000,0.621805,True.png
7,152,3,Structure_7_152_3,9,5,1000,7000,0.593281,True.png
3,153,3,Structure_3_153_3,5,5,1000,7000,0.579207,True.png
4,153,3,Structure_4_153_3,6,5,1000,7000,0.530178,True.png
5,153,3,Structure_5_153_3,7,5,1000,7000,0.499114,True.png
6,153,3,Structure_6_153_3,8,5,1000,7000,0.543101,True.png
7,153,3,Structure_7_153_3,9,5,1000,7000,0.515164,True.png
3,154,3,Structure_3_154_3,5,5,1000,7000,0.662113,True.png
4,154,3,Structure_4_154_3,6,5,1000,7000,0.666755,True.png
5,154,3,Structure_5_154_3,7,5,1000,7000,0.638522,True.png
6,154,3,Structure_6_154_3,8,5,1000,7000,0.623045,True.png
7,154,3,Structure_7_154_3,9,5,1000,7000,0.609559,True.png
3,155,3,Structure_3_155_3,5,5,1000,9000,0.315483,True.png
4,155,3,Structure_4_155_3,6,5,1000,6000,0.7281,True.png
5,155,3,Structure_5_155_3,7,5,1000,6000,0.69744,True.png
6,155,3,Structure_6_155_3,8,5,1000,6000,0.669219,True.png
7,155,3,Structure_7_155_3,9,5,1000,6000,0.641347,True.png
3,156,3,Structure_3_156_3,5,5,1000,9000,0.226945,True.png
4,156,3,Structure_4_156_3,6,5,1000,9000,0.284544,True.png
5,156,3,Structure_5_156_3,7,5,1000,9000,0.221799,True.png
6,156,3,Structure_6_156_3,8,5,1000,9000,0.15989,True.png
7,156,3,Structure_7_156_3,9,5,1000,9000,0.103993,True.png
