in:Amount columns X,in:Seed for random numbers,in:Amount columns Y,out:name,out:Number of columns X,out:Number of columns Y,out:Column spacing minimum (mm),out:Beam span maximum (mm),out:Y-Label,img
6,17,3,Structure_6_17_3,8,5,1000,6000,0.686391,True.png
7,17,3,Structure_7_17_3,9,5,1000,6000,0.658076,True.png
3,18,3,Structure_3_18_3,5,5,1000,8000,0.608695,True.png
4,18,3,Structure_4_18_3,6,5,1000,6000,0.715169,True.png
5,18,3,Structure_5_18_3,7,5,1000,6000,0.699659,True.png
6,18,3,Structure_6_18_3,8,5,1000,6000,0.671701,True.png
7,18,3,Structure_7_18_3,9,5,1000,6000,0.644397,True.png
3,19,3,Structure_3_19_3,5,5,1000,8000,0.387309,True.png
4,19,3,Structure_4_19_3,6,5,1000,8000,0.567144,True.png
5,19,3,Structure_5_19_3,7,5,1000,8000,0.539136,True.png
6,19,3,Structure_6_19_3,8,5,1000,8000,0.585287,True.png
7,19,3,Structure_7_19_3,9,5,1000,8000,0.58253,True.png
3,20,3,Structure_3_20_3,5,5,1000,8000,0.385825,True.png
4,20,3,Structure_4_20_3,6,5,1000,8000,0.60042,True.png
5,20,3,Structure_5_20_3,7,5,1000,8000,0.573221,True.png
6,20,3,Structure_6_20_3,8,5,1000,8000,0.575175,True.png
7,20,3,Structure_7_20_3,9,5,1000,8000,0.549776,True.png
3,21,3,Structure_3_21_3,5,5,1000,8000,0.662901,True.png
4,21,3,Structure_4_21_3,6,5,1000,8000,0.63826,True.png
5,21,3,Structure_5_21_3,7,5,1000,8000,0.613251,True.png
6,21,3,Structure_6_21_3,8,5,1000,8000,0.608306,True.png
7,21,3,Structure_7_21_3,9,5,1000,8000,0.58235,True.png
3,22,3,Structure_3_22_3,5,5,1000,11000,0.052434,True.png
4,22,3,Structure_4_22_3,6,5,1000,6000,0.758804,True.png
5,22,3,Structure_5_22_3,7,5,1000,5000,0.756657,True.png
6,22,3,Structure_6_22_3,8,5,1000,5000,0.729467,True.png
7,22,3,Structure_7_22_3,9,5,1000,5000,0.701315,True.png
3,23,3,Structure_3_23_3,5,5,1000,11000,-0.196094,True.png
4,23,3,Structure_4_23_3,6,5,1000,11000,-0.262143,True.png
5,23,3,Structure_5_23_3,7,5,1000,11000,0.023219,True.png
6,23,3,Structure_6_23_3,8,5,1000,11000,-0.000664,True.png
7,23,3,Structure_7_23_3,9,5,1000,11000,-0.030252,True.png
3,24,3,Structure_3_24_3,5,5,2000,8000,0.402545,True.png
4,24,3,Structure_4_24_3,6,5,2000,8000,0.655121,True.png
5,24,3,Structure_5_24_3,7,5,1000,8000,0.63608,True.png
6,24,3,Structure_6_24_3,8,5,1000,8000,0.609402,True.png
7,24,3,Structure_7_24_3,9,5,1000,8000,0.581684,True.png
3,25,3,Structure_3_25_3,5,5,1000,7000,0.651556,True.png
4,25,3,Structure_4_25_3,6,5,1000,7000,0.622231,True.png
5,25,3,Structure_5_25_3,7,5,1000,7000,0.593862,True.png
6,25,3,Structure_6_25_3,8,5,1000,7000,0.597611,True.png
7,25,3,Structure_7_25_3,9,5,1000,7000,0.59153,True.png
3,26,3,Structure_3_26_3,5,5,1000,7000,0.700482,True.png
4,26,3,Structure_4_26_3,6,5,1000,7000,0.684443,True.png
5,26,3,Structure_5_26_3,7,5,1000,6000,0.728731,True.png
6,26,3,Structure_6_26_3,8,5,1000,6000,0.700039,True.png
7,26,3,Structure_7_26_3,9,5,1000,6000,0.686573,True.png
3,27,3,Structure_3_27_3,5,5,1000,8000,0.389339,True.png
4,27,3,Structure_4_27_3,6,5,1000,7000,0.688372,True.png
5,27,3,Structure_5_27_3,7,5,1000,7000,0.660741,True.png
6,27,3,Structure_6_27_3,8,5,1000,7000,0.661928,True.png
7,27,3,Structure_7_27_3,9,5,1000,7000,0.646314,True.png
3,28,3,Structure_3_28_3,5,5,1000,9000,0.214799,True.png
4,28,3,Structure_4_28_3,6,5,1000,8000,0.51937,True.png
5,28,3,Structure_5_28_3,7,5,1000,8000,0.487621,True.png
6,28,3,Structure_6_28_3,8,5,1000,8000,0.458851,True.png
7,28,3,Structure_7_28_3,9,5,1000,8000,0.484607,True.png
3,29,3,Structure_3_29_3,5,5,1000,9000,0.377967,True.png
4,29,3,Structure_4_29_3,6,5,1000,9000,0.530855,True.png
5,29,3,Structure_5_29_3,7,5,1000,9000,0.530512,True.png
6,29,3,Structure_6_29_3,8,5,1000,9000,0.504701,True.png
7,29,3,Structure_7_29_3,9,5,1000,9000,0.505315,True.png
3,30,3,Structure_3_30_3,5,5,2000,6000,0.734821,True.png
4,30,3,Structure_4_30_3,6,5,1000,6000,0.706526,True.png
5,30,3,Structure_5_30_3,7,5,1000,6000,0.702415,True.png
6,30,3,Structure_6_30_3,8,5,1000,6000,0.680007,True.png
7,30,3,Structure_7_30_3,9,5,1000,6000,0.651555,True.png
3,31,3,Structure_3_31_3,5,5,1000,7000,0.684309,True.png
4,31,3,Structure_4_31_3,6,5,1000,7000,0.660005,True.png
5,31,3,Structure_5_31_3,7,5,1000,7000,0.641509,True.png
6,31,3,Structure_6_31_3,8,5,1000,6000,0.704681,True.png
7,31,3,Structure_7_31_3,9,5,1000,5000,0.690364,True.png
3,32,3,Structure_3_32_3,5,5,1000,11000,-0.050737,True.png
4,32,3,Structure_4_32_3,6,5,1000,10000,0.171074,True.png
5,32,3,Structure_5_32_3,7,5,1000,8000,0.358531,True.png
6,32,3,Structure_6_32_3,8,5,1000,7000,0.609367,True.png
7,32,3,Structure_7_32_3,9,5,1000,7000,0.58148,True.png
3,33,3,Structure_3_33_3,5,5,1000,11000,-0.109225,True.png
4,33,3,Structure_4_33_3,6,5,1000,11000,0.015876,True.png
5,33,3,Structure_5_33_3,7,5,1000,11000,-0.005407,True.png
6,33,3,Structure_6_33_3,8,5,1000,11000,-0.03456,True.png
7,33,3,Structure_7_33_3,9,5,1000,11000,-0.048003,True.png
3,34,3,Structure_3_34_3,5,5,1000,7000,0.674502,True.png
4,34,3,Structure_4_34_3,6,5,1000,7000,0.688904,True.png
5,34,3,Structure_5_34_3,7,5,1000,7000,0.660498,True.png
6,34,3,Structure_6_34_3,8,5,1000,7000,0.659716,True.png
7,34,3,Structure_7_34_3,9,5,1000,7000,0.631306,True.png
3,35,3,Structure_3_35_3,5,5,1000,6000,0.68965,True.png
4,35,3,Structure_4_35_3,6,5,1000,6000,0.731533,True.png
5,35,3,Structure_5_35_3,7,5,1000,6000,0.7117,True.png
6,35,3,Structure_6_35_3,8,5,1000,6000,0.68476,True.png
7,35,3,Structure_7_35_3,9,5,1000,6000,0.656365,True.png
3,36,3,Structure_3_36_3,5,5,1000,7000,0.674384,True.png
4,36,3,Structure_4_36_3,6,5,1000,7000,0.656519,True.png
5,36,3,Structure_5_36_3,7,5,1000,7000,0.639608,True.png
6,36,3,Structure_6_36_3,8,5,1000,6000,0.628086,True.png
7,36,3,Structure_7_36_3,9,5,1000,6000,0.599432,True.png
3,37,3,Structure_3_37_3,5,5,1000,8000,0.592219,True.png
4,37,3,Structure_4_37_3,6,5,1000,8000,0.575717,True.png
5,37,3,Structure_5_37_3,7,5,1000,7000,0.600642,True.png
6,37,3,Structure_6_37_3,8,5,1000,7000,0.571665,True.png
7,37,3,Structure_7_37_3,9,5,1000,7000,0.638503,True.png
3,38,3,Structure_3_38_3,5,5,1000,8000,0.413419,True.png
4,38,3,Structure_4_38_3,6,5,1000,8000,0.637287,True.png
5,38,3,Structure_5_38_3,7,5,1000,8000,0.609093,True.png
6,38,3,Structure_6_38_3,8,5,1000,8000,0.604467,True.png
7,38,3,Structure_7_38_3,9,5,1000,8000,0.579509,True.png
3,39,3,Structure_3_39_3,5,5,1000,8000,0.352151,True.png
4,39,3,Structure_4_39_3,6,5,1000,8000,0.321326,True.png
5,39,3,Structure_5_39_3,7,5,1000,7000,0.566104,True.png
6,39,3,Structure_6_39_3,8,5,1000,7000,0.616695,True.png
7,39,3,Structure_7_39_3,9,5,1000,7000,0.601374,True.png
3,40,3,Structure_3_40_3,5,5,1000,8000,0.239414,True.png
4,40,3,Structure_4_40_3,6,5,1000,8000,0.3181,True.png
5,40,3,Structure_5_40_3,7,5,1000,8000,0.525162,True.png
6,40,3,Structure_6_40_3,8,5,1000,8000,0.497789,True.png
7,40,3,Structure_7_40_3,9,5,1000,8000,0.50276,True.png
3,41,3,Structure_3_41_3,5,5,1000,8000,0.262199,True.png
4,41,3,Structure_4_41_3,6,5,1000,8000,0.18601,True.png
5,41,3,Structure_5_41_3,7,5,1000,8000,0.264231,True.png
6,41,3,Structure_6_41_3,8,5,1000,8000,0.198014,True.png
7,41,3,Structure_7_41_3,9,5,1000,8000,0.485799,True.png
3,42,3,Structure_3_42_3,5,5,1000,9000,0.239787,True.png
4,42,3,Structure_4_42_3,6,5,1000,8000,0.511372,True.png
5,42,3,Structure_5_42_3,7,5,1000,8000,0.513013,True.png
6,42,3,Structure_6_42_3,8,5,1000,8000,0.511349,True.png
7,42,3,Structure_7_42_3,9,5,1000,8000,0.484736,True.png
3,43,3,Structure_3_43_3,5,5,1000,9000,0.377608,True.png
4,43,3,Structure_4_43_3,6,5,1000,9000,0.305603,True.png
5,43,3,Structure_5_43_3,7,5,1000,9000,0.548124,True.png
6,43,3,Structure_6_43_3,8,5,1000,9000,0.519441,True.png
7,43,3,Structure_7_43_3,9,5,1000,9000,0.491865,True.png
3,44,3,Structure_3_44_3,5,5,1000,7000,0.609012,True.png
4,44,3,Structure_4_44_3,6,5,1000,7000,0.700652,True.png
5,44,3,Structure_5_44_3,7,5,1000,7000,0.692799,True.png
6,44,3,Structure_6_44_3,8,5,1000,7000,0.667123,True.png
7,44,3,Structure_7_44_3,9,5,1000,7000,0.638694,True.png
3,45,3,Structure_3_45_3,5,5,1000,7000,0.57367,True.png
4,45,3,Structure_4_45_3,6,5,1000,7000,0.618087,True.png
5,45,3,Structure_5_45_3,7,5,1000,7000,0.590439,True.png
6,45,3,Structure_6_45_3,8,5,1000,7000,0.627528,True.png
7,45,3,Structure_7_45_3,9,5,1000,7000,0.599484,True.png
3,46,3,Structure_3_46_3,5,5,1000,8000,0.358646,True.png
4,46,3,Structure_4_46_3,6,5,1000,7000,0.64096,True.png
5,46,3,Structure_5_46_3,7,5,1000,7000,0.627011,True.png
6,46,3,Structure_6_46_3,8,5,1000,7000,0.610799,True.png
7,46,3,Structure_7_46_3,9,5,1000,7000,0.582447,True.png
3,47,3,Structure_3_47_3,5,5,1000,8000,0.259701,True.png
4,47,3,Structure_4_47_3,6,5,1000,8000,0.346337,True.png
5,47,3,Structure_5_47_3,7,5,1000,8000,0.287081,True.png
