Name;Number_of_columns_X;Number_of_columns_Y;Column_spacing_minimum_(mm);Beam_span_maximum_(mm);Y_label
Structure_4_25_3;6;5;1000;7000;0.636925
Structure_5_25_3;7;5;1000;7000;0.603234
Structure_6_25_3;8;5;1000;7000;0.595166
Structure_7_25_3;9;5;1000;7000;0.578862
Structure_3_26_3;5;5;1000;7000;0.708908
Structure_4_26_3;6;5;1000;7000;0.69074
Structure_5_26_3;7;5;1000;6000;0.708199
Structure_6_26_3;8;5;1000;6000;0.67426
Structure_7_26_3;9;5;1000;6000;0.652045
Structure_3_27_3;5;5;1000;8000;0.393115
Structure_4_27_3;6;5;1000;7000;0.688744
Structure_5_27_3;7;5;1000;7000;0.655622
Structure_6_27_3;8;5;1000;7000;0.644914
Structure_7_27_3;9;5;1000;7000;0.621046
Structure_3_28_3;5;5;1000;9000;0.252423
Structure_4_28_3;6;5;1000;8000;0.541301
Structure_5_28_3;7;5;1000;8000;0.503171
Structure_6_28_3;8;5;1000;8000;0.468565
Structure_7_28_3;9;5;1000;8000;0.495749
Structure_3_29_3;5;5;1000;9000;0.378553
Structure_4_29_3;6;5;1000;9000;0.552209
Structure_5_29_3;7;5;1000;9000;0.554448
Structure_6_29_3;8;5;1000;9000;0.5234
Structure_7_29_3;9;5;1000;9000;0.512476
Structure_3_30_3;5;5;2000;6000;0.736356
Structure_4_30_3;6;5;1000;6000;0.702723
Structure_5_30_3;7;5;1000;6000;0.687936
Structure_6_30_3;8;5;1000;6000;0.658835
Structure_7_30_3;9;5;1000;6000;0.625081
Structure_3_31_3;5;5;1000;7000;0.69668
Structure_4_31_3;6;5;1000;7000;0.67293
Structure_5_31_3;7;5;1000;7000;0.652869
Structure_6_31_3;8;5;1000;6000;0.695919
Structure_7_31_3;9;5;1000;5000;0.654963
Structure_3_32_3;5;5;1000;11000;0.120989
Structure_4_32_3;6;5;1000;10000;0.28679
Structure_5_32_3;7;5;1000;8000;0.34999
Structure_6_32_3;8;5;1000;7000;0.60366
Structure_7_32_3;9;5;1000;7000;0.570341
Structure_3_33_3;5;5;1000;11000;0
Structure_4_33_3;6;5;1000;11000;0.155678
Structure_5_33_3;7;5;1000;11000;0.126756
Structure_6_33_3;8;5;1000;11000;0.094159
Structure_7_33_3;9;5;1000;11000;0.078814
Structure_3_34_3;5;5;1000;7000;0.689353
Structure_4_34_3;6;5;1000;7000;0.689154
Structure_5_34_3;7;5;1000;7000;0.655659
Structure_6_34_3;8;5;1000;7000;0.643211
Structure_7_34_3;9;5;1000;7000;0.609489
Structure_3_35_3;5;5;1000;6000;0.701575
Structure_4_35_3;6;5;1000;6000;0.722202
Structure_5_35_3;7;5;1000;6000;0.695085
Structure_6_35_3;8;5;1000;6000;0.662495
Structure_7_35_3;9;5;1000;6000;0.628784
Structure_3_36_3;5;5;1000;7000;0.689262
Structure_4_36_3;6;5;1000;7000;0.669688
Structure_5_36_3;7;5;1000;7000;0.650848
Structure_6_36_3;8;5;1000;6000;0.618856
Structure_7_36_3;9;5;1000;6000;0.584946
Structure_3_37_3;5;5;1000;8000;0.624547
Structure_4_37_3;6;5;1000;8000;0.605619
Structure_5_37_3;7;5;1000;7000;0.607673
Structure_6_37_3;8;5;1000;7000;0.573847
Structure_7_37_3;9;5;1000;7000;0.615031
Structure_3_38_3;5;5;1000;8000;0.414063
Structure_4_38_3;6;5;1000;8000;0.648402
Structure_5_38_3;7;5;1000;8000;0.614846
Structure_6_38_3;8;5;1000;8000;0.600669
Structure_7_38_3;9;5;1000;8000;0.569606
Structure_3_39_3;5;5;1000;8000;0.366662
Structure_4_39_3;6;5;1000;8000;0.331303
Structure_5_39_3;7;5;1000;7000;0.593289
Structure_6_39_3;8;5;1000;7000;0.60986
Structure_7_39_3;9;5;1000;7000;0.586441
Structure_3_40_3;5;5;1000;8000;0.269591
Structure_4_40_3;6;5;1000;8000;0.308859
Structure_5_40_3;7;5;1000;8000;0.547923
Structure_6_40_3;8;5;1000;8000;0.515557
Structure_7_40_3;9;5;1000;8000;0.510509
Structure_3_41_3;5;5;1000;8000;0.292512
Structure_4_41_3;6;5;1000;8000;0.202018
Structure_5_41_3;7;5;1000;8000;0.242489
Structure_6_41_3;8;5;1000;8000;0.162374
Structure_7_41_3;9;5;1000;8000;0.496666
Structure_3_42_3;5;5;1000;9000;0.278023
Structure_4_42_3;6;5;1000;8000;0.531487
Structure_5_42_3;7;5;1000;8000;0.534172
Structure_6_42_3;8;5;1000;8000;0.528295
Structure_7_42_3;9;5;1000;8000;0.495957
Structure_3_43_3;5;5;1000;9000;0.386488
Structure_4_43_3;6;5;1000;9000;0.299461
Structure_5_43_3;7;5;1000;9000;0.5679
Structure_6_43_3;8;5;1000;9000;0.533968
Structure_7_43_3;9;5;1000;9000;0.500888
Structure_3_44_3;5;5;1000;7000;0.638592
Structure_4_44_3;6;5;1000;7000;0.6982
Structure_5_44_3;7;5;1000;7000;0.680531
Structure_6_44_3;8;5;1000;7000;0.648914
Structure_7_44_3;9;5;1000;7000;0.615178
Structure_3_45_3;5;5;1000;7000;0.605954
Structure_4_45_3;6;5;1000;7000;0.634176
Structure_5_45_3;7;5;1000;7000;0.600932
Structure_6_45_3;8;5;1000;7000;0.618426
Structure_7_45_3;9;5;1000;7000;0.584986
Structure_3_46_3;5;5;1000;8000;0.370239
Structure_4_46_3;6;5;1000;7000;0.652012
Structure_5_46_3;7;5;1000;7000;0.62965
Structure_6_46_3;8;5;1000;7000;0.605545
Structure_7_46_3;9;5;1000;7000;0.571867
Structure_3_47_3;5;5;1000;8000;0.293357
Structure_4_47_3;6;5;1000;8000;0.333281
Structure_5_47_3;7;5;1000;8000;0.260132
Structure_6_47_3;8;5;1000;8000;0.526533
Structure_7_47_3;9;5;1000;8000;0.493469
Structure_3_48_3;5;5;1000;8000;0.41821
Structure_4_48_3;6;5;1000;8000;0.591854
Structure_5_48_3;7;5;1000;8000;0.572567
Structure_6_48_3;8;5;1000;8000;0.540789
Structure_7_48_3;9;5;1000;8000;0.509587
Structure_3_49_3;5;5;1000;8000;0.424368
Structure_4_49_3;6;5;1000;7000;0.662163
Structure_5_49_3;7;5;1000;6000;0.65265
Structure_6_49_3;8;5;1000;6000;0.657756
Structure_7_49_3;9;5;1000;6000;0.624529
Structure_3_50_3;5;5;1000;8000;0.368289
Structure_4_50_3;6;5;1000;8000;0.583965
Structure_5_50_3;7;5;1000;8000;0.562824
Structure_6_50_3;8;5;1000;8000;0.530365
Structure_7_50_3;9;5;1000;8000;0.497257
Structure_3_51_3;5;5;1000;7000;0.693786
Structure_4_51_3;6;5;1000;7000;0.661938
Structure_5_51_3;7;5;1000;7000;0.628411
Structure_6_51_3;8;5;1000;7000;0.596761
Structure_7_51_3;9;5;1000;7000;0.578635
Structure_3_52_3;5;5;1000;7000;0.731866
Structure_4_52_3;6;5;1000;5000;0.764778
Structure_5_52_3;7;5;1000;5000;0.730867
Structure_6_52_3;8;5;1000;5000;0.698625
Structure_7_52_3;9;5;1000;5000;0.664915
Structure_3_53_3;5;5;1000;7000;0.722062
Structure_4_53_3;6;5;1000;7000;0.688775
Structure_5_53_3;7;5;1000;7000;0.674852
Structure_6_53_3;8;5;1000;7000;0.641205
Structure_7_53_3;9;5;1000;7000;0.608935
Structure_3_54_3;5;5;1000;6000;0.738927
Structure_4_54_3;6;5;1000;6000;0.71829
Structure_5_54_3;7;5;1000;5000;0.722341
Structure_6_54_3;8;5;1000;5000;0.695524
Structure_7_54_3;9;5;1000;5000;0.662217
Structure_3_55_3;5;5;1000;11000;0.184111
Structure_4_55_3;6;5;1000;10000;0.150579
Structure_5_55_3;7;5;1000;9000;0.313848
Structure_6_55_3;8;5;1000;7000;0.637618
Structure_7_55_3;9;5;1000;6000;0.589528
Structure_3_56_3;5;5;1000;11000;0
Structure_4_56_3;6;5;1000;11000;0.119032
Structure_5_56_3;7;5;1000;11000;0.09041
Structure_6_56_3;8;5;1000;11000;0.122215
Structure_7_56_3;9;5;1000;11000;0
Structure_3_57_3;5;5;1000;8000;0.65866
Structure_4_57_3;6;5;1000;8000;0.638345
Structure_5_57_3;7;5;1000;8000;0.605245
Structure_6_57_3;8;5;1000;8000;0.593181
Structure_7_57_3;9;5;1000;8000;0.561015
Structure_3_58_3;5;5;1000;6000;0.755035
Structure_4_58_3;6;5;1000;6000;0.736848
Structure_5_58_3;7;5;1000;6000;0.719009
Structure_6_58_3;8;5;1000;6000;0.700478
Structure_7_58_3;9;5;1000;6000;0.682878
Structure_3_59_3;5;5;2000;7000;0.709653
Structure_4_59_3;6;5;2000;6000;0.740399
Structure_5_59_3;7;5;1000;6000;0.707172
Structure_6_59_3;8;5;1000;6000;0.673654
Structure_7_59_3;9;5;1000;6000;0.639532
Structure_3_60_3;5;5;1000;7000;0.722814
Structure_4_60_3;6;5;1000;7000;0.698366
Structure_5_60_3;7;5;1000;7000;0.665284
Structure_6_60_3;8;5;1000;7000;0.634069
Structure_7_60_3;9;5;1000;7000;0.621007
Structure_3_61_3;5;5;1000;6000;0.740176
Structure_4_61_3;6;5;1000;6000;0.721319
Structure_5_61_3;7;5;1000;6000;0.701612
Structure_6_61_3;8;5;1000;6000;0.683897
Structure_7_61_3;9;5;1000;5000;0.636235
Structure_3_62_3;5;5;1000;7000;0.694736
Structure_4_62_3;6;5;1000;6000;0.69415
Structure_5_62_3;7;5;1000;6000;0.671669
Structure_6_62_3;8;5;1000;6000;0.637775
Structure_7_62_3;9;5;1000;6000;0.604256
Structure_3_63_3;5;5;1000;7000;0.705455
Structure_4_63_3;6;5;1000;7000;0.692081
Structure_5_63_3;7;5;1000;7000;0.658289
Structure_6_63_3;8;5;1000;7000;0.651244
Structure_7_63_3;9;5;1000;7000;0.621458
Structure_3_64_3;5;5;1000;6000;0.731905
Structure_4_64_3;6;5;1000;6000;0.698649
Structure_5_64_3;7;5;1000;6000;0.690448
Structure_6_64_3;8;5;1000;6000;0.657093
Structure_7_64_3;9;5;1000;6000;0.625208
Structure_3_65_3;5;5;2000;6000;0.73713
Structure_4_65_3;6;5;2000;6000;0.717611
Structure_5_65_3;7;5;1000;6000;0.705622
Structure_6_65_3;8;5;1000;6000;0.671809
Structure_7_65_3;9;5;1000;6000;0.640826
Structure_3_66_3;5;5;2000;8000;0.602358
Structure_4_66_3;6;5;1000;8000;0.583588
Structure_5_66_3;7;5;1000;7000;0.635716
Structure_6_66_3;8;5;1000;6000;0.661241
Structure_7_66_3;9;5;1000;6000;0.642195
Structure_3_67_3;5;5;1000;8000;0.384707
Structure_4_67_3;6;5;1000;8000;0.538074
Structure_5_67_3;7;5;1000;8000;0.560955
Structure_6_67_3;8;5;1000;8000;0.54417
Structure_7_67_3;9;5;1000;8000;0.516768
Structure_3_68_3;5;5;1000;8000;0.380209
Structure_4_68_3;6;5;1000;8000;0.347124
Structure_5_68_3;7;5;1000;7000;0.635402
Structure_6_68_3;8;5;1000;7000;0.643729
Structure_7_68_3;9;5;1000;7000;0.621455
Structure_3_69_3;5;5;1000;9000;0.4452
Structure_4_69_3;6;5;1000;8000;0.239877
Structure_5_69_3;7;5;1000;8000;0.160095
Structure_6_69_3;8;5;1000;8000;0.52741
Structure_7_69_3;9;5;1000;8000;0.502395
Structure_3_70_3;5;5;1000;9000;0.382922
Structure_4_70_3;6;5;1000;9000;0.600172
Structure_5_70_3;7;5;1000;9000;0.570315
Structure_6_70_3;8;5;1000;9000;0.537265
Structure_7_70_3;9;5;1000;9000;0.505732
Structure_3_71_3;5;5;1000;7000;0.688462
Structure_4_71_3;6;5;1000;7000;0.687446
Structure_5_71_3;7;5;1000;7000;0.654519
Structure_6_71_3;8;5;1000;7000;0.620607
Structure_7_71_3;9;5;1000;7000;0.587262
Structure_3_72_3;5;5;1000;8000;0.632952
Structure_4_72_3;6;5;1000;7000;0.669979
Structure_5_72_3;7;5;1000;6000;0.688036
Structure_6_72_3;8;5;1000;6000;0.663588
Structure_7_72_3;9;5;1000;6000;0.630104
Structure_3_73_3;5;5;2000;8000;0.633472
Structure_4_73_3;6;5;1000;8000;0.60303
Structure_5_73_3;7;5;1000;8000;0.603757
Structure_6_73_3;8;5;1000;8000;0.56963
Structure_7_73_3;9;5;1000;8000;0.557044
Structure_3_74_3;5;5;1000;9000;0.484495
Structure_4_74_3;6;5;1000;7000;0.670124
Structure_5_74_3;7;5;1000;6000;0.690733
Structure_6_74_3;8;5;1000;6000;0.657134
Structure_7_74_3;9;5;1000;6000;0.634243
Structure_3_75_3;5;5;1000;9000;0.268445
Structure_4_75_3;6;5;1000;9000;0.184972
Structure_5_75_3;7;5;1000;9000;0.171632
Structure_6_75_3;8;5;1000;9000;0.091601
Structure_7_75_3;9;5;1000;9000;0.00894
Structure_3_76_3;5;5;1000;7000;0.610365
Structure_4_76_3;6;5;1000;7000;0.57487
Structure_5_76_3;7;5;1000;7000;0.540554
Structure_6_76_3;8;5;1000;7000;0.505459
Structure_7_76_3;9;5;1000;7000;0.576851
Structure_3_77_3;5;5;1000;7000;0.643056
Structure_4_77_3;6;5;1000;7000;0.608289
Structure_5_77_3;7;5;1000;7000;0.633535
Structure_6_77_3;8;5;1000;7000;0.609034
Structure_7_77_3;9;5;1000;7000;0.583104
Structure_3_78_3;5;5;1000;10000;0.282009
Structure_4_78_3;6;5;1000;9000;0.347984
Structure_5_78_3;7;5;1000;7000;0.643176
Structure_6_78_3;8;5;1000;7000;0.647296
Structure_7_78_3;9;5;1000;7000;0.613903
Structure_3_79_3;5;5;1000;10000;0.219105
Structure_4_79_3;6;5;1000;10000;0.256694
Structure_5_79_3;7;5;1000;10000;0.181842
Structure_6_79_3;8;5;1000;10000;0.113017
Structure_7_79_3;9;5;1000;10000;0.036581
Structure_3_80_3;5;5;2000;7000;0.652595
Structure_4_80_3;6;5;2000;7000;0.652736
Structure_5_80_3;7;5;1000;7000;0.619697
Structure_6_80_3;8;5;1000;7000;0.585746
Structure_7_80_3;9;5;1000;7000;0.551963
Structure_3_81_3;5;5;1000;6000;0.702689
Structure_4_81_3;6;5;1000;6000;0.668844
Structure_5_81_3;7;5;1000;6000;0.634649
Structure_6_81_3;8;5;1000;6000;0.602021
Structure_7_81_3;9;5;1000;6000;0.568296
Structure_3_82_3;5;5;1000;6000;0.743487
Structure_4_82_3;6;5;1000;6000;0.710961
Structure_5_82_3;7;5;1000;6000;0.690734
Structure_6_82_3;8;5;1000;6000;0.658645
Structure_7_82_3;9;5;1000;6000;0.62869
Structure_3_83_3;5;5;1000;6000;0.76248
Structure_4_83_3;6;5;1000;6000;0.740271
Structure_5_83_3;7;5;1000;6000;0.721233
Structure_6_83_3;8;5;1000;6000;0.703823
Structure_7_83_3;9;5;1000;5000;0.713096
Structure_3_84_3;5;5;1000;7000;0.707051
Structure_4_84_3;6;5;1000;6000;0.7431
Structure_5_84_3;7;5;1000;6000;0.710705
Structure_6_84_3;8;5;1000;6000;0.677196
Structure_7_84_3;9;5;1000;6000;0.646701
Structure_3_85_3;5;5;1000;7000;0.709611
Structure_4_85_3;6;5;1000;7000;0.675407
Structure_5_85_3;7;5;1000;7000;0.681071
Structure_6_85_3;8;5;1000;7000;0.64758
Structure_7_85_3;9;5;1000;7000;0.624689
Structure_3_86_3;5;5;1000;12000;0.06515
Structure_4_86_3;6;5;1000;8000;0.630158
Structure_5_86_3;7;5;1000;6000;0.692791
Structure_6_86_3;8;5;1000;6000;0.659483
Structure_7_86_3;9;5;1000;6000;0.643553
Structure_3_87_3;5;5;1000;12000;0
Structure_4_87_3;6;5;1000;12000;0.228181
Structure_5_87_3;7;5;1000;12000;0.203182
Structure_6_87_3;8;5;1000;12000;0
Structure_7_87_3;9;5;1000;12000;0
Structure_3_88_3;5;5;1000;8000;0.332089
Structure_4_88_3;6;5;1000;8000;0.24132
Structure_5_88_3;7;5;1000;8000;0.173825
Structure_6_88_3;8;5;1000;8000;0.537057
Structure_7_88_3;9;5;1000;8000;0.537966
Structure_3_89_3;5;5;1000;8000;0.338736
Structure_4_89_3;6;5;1000;8000;0.592822
Structure_5_89_3;7;5;1000;8000;0.560805
Structure_6_89_3;8;5;1000;8000;0.543706
Structure_7_89_3;9;5;1000;8000;0.511442
Structure_3_90_3;5;5;2000;8000;0.406855
Structure_4_90_3;6;5;2000;8000;0.658826
Structure_5_90_3;7;5;2000;8000;0.632341
Structure_6_90_3;8;5;1000;8000;0.602302
Structure_7_90_3;9;5;1000;8000;0.569032
Structure_3_91_3;5;5;1000;8000;0.630055
Structure_4_91_3;6;5;1000;8000;0.596151
Structure_5_91_3;7;5;1000;8000;0.561542
Structure_6_91_3;8;5;1000;8000;0.601184
Structure_7_91_3;9;5;1000;8000;0.570995
Structure_3_92_3;5;5;1000;7000;0.641575
Structure_4_92_3;6;5;1000;7000;0.607065
Structure_5_92_3;7;5;1000;7000;0.57282
Structure_6_92_3;8;5;1000;7000;0.624684
Structure_7_92_3;9;5;1000;7000;0.623678
Structure_3_93_3;5;5;1000;8000;0.366861
Structure_4_93_3;6;5;1000;7000;0.619182
Structure_5_93_3;7;5;1000;7000;0.642965
Structure_6_93_3;8;5;1000;7000;0.609431
Structure_7_93_3;9;5;1000;7000;0.576462
Structure_3_94_3;5;5;1000;8000;0.420679
Structure_4_94_3;6;5;1000;8000;0.336797
Structure_5_94_3;7;5;1000;8000;0.561438
Structure_6_94_3;8;5;1000;8000;0.527762
Structure_7_94_3;9;5;1000;8000;0.494945
Structure_3_95_3;5;5;1000;9000;0.482086
Structure_4_95_3;6;5;1000;9000;0.464429
Structure_5_95_3;7;5;1000;6000;0.65993
Structure_6_95_3;8;5;1000;6000;0.652236
Structure_7_95_3;9;5;1000;6000;0.618693
Structure_3_96_3;5;5;1000;9000;0.476431
Structure_4_96_3;6;5;1000;9000;0.440826
Structure_5_96_3;7;5;1000;9000;0.219672
Structure_6_96_3;8;5;1000;9000;0.100504
Structure_7_96_3;9;5;1000;9000;0.027776
Structure_3_97_3;5;5;1000;8000;0.415677
Structure_4_97_3;6;5;1000;8000;0.3844
Structure_5_97_3;7;5;1000;6000;0.672173
Structure_6_97_3;8;5;1000;6000;0.659161
Structure_7_97_3;9;5;1000;6000;0.625485
Structure_3_98_3;5;5;1000;8000;0.613828
Structure_4_98_3;6;5;1000;8000;0.589535
Structure_5_98_3;7;5;1000;8000;0.559781
Structure_6_98_3;8;5;1000;8000;0.52753
Structure_7_98_3;9;5;1000;8000;0.494905
Structure_3_99_3;5;5;1000;7000;0.710105
Structure_4_99_3;6;5;1000;5000;0.753292
Structure_5_99_3;7;5;1000;5000;0.721355
Structure_6_99_3;8;5;1000;5000;0.694815
Structure_7_99_3;9;5;1000;5000;0.663586
Structure_3_100_3;5;5;1000;7000;0.71691
Structure_4_100_3;6;5;1000;7000;0.684815
Structure_5_100_3;7;5;1000;7000;0.659025
Structure_6_100_3;8;5;1000;7000;0.627059
Structure_7_100_3;9;5;1000;7000;0.610335
Structure_3_101_3;5;5;1000;5000;0.781007
Structure_4_101_3;6;5;1000;5000;0.744196
